Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,5n6,C_0603_1608Metric,113.525,-68.58,180,top
C2,220pF,C_0805_2012Metric,130.236,-72.009,180,top
C3,1n5,C_0603_1608Metric,121.298,-68.58,0,top
C4,220pF,C_0805_2012Metric,139.639,-72.009,180,top
C5,1n5,C_0603_1608Metric,113.525,-87.884,180,top
C6,220pF,C_0805_2012Metric,129.22,-84.582,180,top
C7,1n5,C_0603_1608Metric,121.272,-87.884,0,top
C8,220pF,C_0805_2012Metric,139.065,-84.582,180,top
C9,opt,C_0805_2012Metric,102.804,-68.707,0,top
C10,1n2,C_0603_1608Metric,129.273,-114.3,180,top
C11,3n9,C_0603_1608Metric,131.077,-94.488,0,top
C12,1n2,C_0603_1608Metric,121.018,-110.744,0,top
C13,opt,C_0805_2012Metric,122.748,-94.488,0,top
C14,100pF,C_0603_1608Metric,108.979,-84.582,180,top
C15,10uF,C_0805_2012Metric,142.56,-114.554,180,top
C16,10uF,C_0805_2012Metric,142.56,-107.188,0,top
C17,100nF,C_0603_1608Metric,108.712,-79.629,270,top
C18,100nF,C_0603_1608Metric,108.712,-76.581,270,top
C19,100nF,C_0603_1608Metric,125.095,-79.629,270,top
C20,100nF,C_0603_1608Metric,125.095,-76.581,270,top
C21,100nF,C_0603_1608Metric,134.747,-79.616,270,top
C22,100nF,C_0603_1608Metric,134.747,-76.581,270,top
C23,100nF,C_0603_1608Metric,126.619,-105.143,270,top
C24,100nF,C_0603_1608Metric,126.619,-102.108,270,top
C25,100nF,C_0603_1608Metric,142.748,-110.744,180,top
C26,100nF,C_0603_1608Metric,142.735,-103.886,0,top
D1,1N4148W,D_SOD-123,103.7092,-84.582,180,top
D2,1N4148W,D_SOD-123,103.7092,-88.2396,180,top
D3,BAT48,D_SOD-123,143.256,-98.172,270,top
R1,15k,R_0603_1608Metric,109.03,-68.58,180,top
R2,3k3,R_0603_1608Metric,109.03,-72.009,180,top
R3,47R,R_0603_1608Metric,113.475,-72.009,0,top
R4,15k,R_0603_1608Metric,130.175,-68.58,180,top
R5,15k,R_0603_1608Metric,135.255,-68.58,180,top
R6,180,R_0603_1608Metric,121.348,-72.009,180,top
R7,15k,R_0603_1608Metric,139.764,-68.58,180,top
R8,15k,R_0603_1608Metric,125.413,-87.884,180,top
R9,180,R_0603_1608Metric,113.475,-84.582,0,top
R10,15k,R_0603_1608Metric,129.477,-87.884,180,top
R11,15k,R_0603_1608Metric,134.43,-87.884,180,top
R12,180,R_0603_1608Metric,121.348,-84.582,180,top
R13,15k,R_0603_1608Metric,139.255,-87.884,180,top
R14,6k8,R_0603_1608Metric,102.807,-72.009,180,top
R15,270k,R_0603_1608Metric,125.285,-110.744,180,top
R16,220,R_0603_1608Metric,129.223,-110.744,0,top
R17,4k7,R_0603_1608Metric,125.285,-114.3,0,top
R18,82R,R_0603_1608Metric,131.001,-98.044,180,top
R19,6k8,R_0603_1608Metric,126.937,-98.044,0,top
R20,51k,R_0603_1608Metric,117.031,-110.744,0,top
R21,10k,R_0603_1608Metric,122.745,-98.044,180,top
R22,10k,R_0603_1608Metric,122.745,-91.186,0,top
R23,10k,R_0603_1608Metric,126.683,-91.186,0,top
R24,10k,R_0603_1608Metric,131.064,-91.186,0,top
R25,10k,R_0603_1608Metric,126.746,-94.488,180,top
R26,100k,R_0603_1608Metric,98.489,-84.582,180,top
R27,820k,R_0603_1608Metric,98.489,-87.884,180,top
R28,150k,R_0603_1608Metric,108.903,-87.884,180,top
U1,SSI2164,SOIC-16_3.9x9.9mm_P1.27mm,117.221,-78.105,270,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,129.286,-78.105,270,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,138.811,-78.105,270,top
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,101.6,-78.105,270,top
U5,SSI2164,SOIC-16_3.9x9.9mm_P1.27mm,133.223,-103.632,270,top
U6,TL072,SOIC-8_3.9x4.9mm_P1.27mm,120.904,-103.632,270,top
