Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470p,C_0603_1608Metric,94.742000,-97.790000,0.000000,top
C2,1n2,C_0603_1608Metric,104.902000,-77.978000,0.000000,top
C3,1n2,C_0603_1608Metric,128.651000,-77.978000,0.000000,top
C4,1n2,C_0603_1608Metric,127.508000,-97.790000,0.000000,top
C8,1n2,C_0603_1608Metric,110.998000,-77.978000,180.000000,top
C9,1n2,C_0603_1608Metric,134.112000,-77.978000,180.000000,top
C10,1n2,C_0603_1608Metric,134.112000,-97.790000,0.000000,top
C15,1n2,C_0603_1608Metric,112.014000,-97.790000,180.000000,top
C16,1n2,C_0603_1608Metric,103.632000,-97.790000,0.000000,top
C17,1n2,C_0603_1608Metric,121.158000,-114.300000,0.000000,top
C18,10u,C_0805_2012Metric,142.748000,-111.760000,180.000000,top
C19,10u,C_0805_2012Metric,142.748000,-106.680000,0.000000,top
C20,100n,C_0603_1608Metric,92.964000,-85.852000,90.000000,top
C21,100n,C_0603_1608Metric,92.964000,-89.154000,90.000000,top
C22,100n,C_0603_1608Metric,102.616000,-85.852000,90.000000,top
C23,100n,C_0603_1608Metric,102.616000,-89.154000,90.000000,top
C24,100n,C_0603_1608Metric,117.094000,-85.852000,90.000000,top
C25,100n,C_0603_1608Metric,117.094000,-89.154000,90.000000,top
C26,100n,C_0603_1608Metric,126.746000,-85.852000,90.000000,top
C27,100n,C_0603_1608Metric,126.746000,-89.141000,90.000000,top
C28,100n,C_0603_1608Metric,141.224000,-85.839000,90.000000,top
C29,100n,C_0603_1608Metric,141.224000,-89.154000,90.000000,top
C30,100p,C_0603_1608Metric,121.158000,-107.696000,0.000000,top
D2,1N4148W,D_SOD-123,135.000000,-111.760000,180.000000,top
D3,1N4148W,D_SOD-123,135.000000,-109.220000,180.000000,top
R1,30k,R_0603_1608Metric,98.298000,-94.742000,0.000000,top
R2,30k,R_0603_1608Metric,94.679000,-94.742000,0.000000,top
R3,30k,R_0603_1608Metric,143.192000,-68.326000,0.000000,top
R4,12k,R_0603_1608Metric,147.257000,-80.137000,180.000000,top
R5,30k,R_0603_1608Metric,104.902000,-74.930000,180.000000,top
R6,30k,R_0603_1608Metric,128.651000,-74.930000,0.000000,top
R7,30k,R_0603_1608Metric,127.508000,-100.838000,180.000000,top
R8,220,R_0603_1608Metric,104.902000,-81.026000,0.000000,top
R9,220,R_0603_1608Metric,128.651000,-81.026000,0.000000,top
R10,220,R_0603_1608Metric,127.508000,-94.742000,0.000000,top
R11,30k,R_0603_1608Metric,104.902000,-71.628000,0.000000,top
R12,30k,R_0603_1608Metric,128.651000,-71.628000,180.000000,top
R13,30k,R_0603_1608Metric,127.508000,-103.886000,180.000000,top
R14,15k,R_0603_1608Metric,110.998000,-71.628000,180.000000,top
R15,15k,R_0603_1608Metric,134.112000,-71.628000,180.000000,top
R16,15k,R_0603_1608Metric,134.112000,-103.886000,0.000000,top
R17,30k,R_0603_1608Metric,110.998000,-74.930000,180.000000,top
R18,30k,R_0603_1608Metric,134.112000,-74.930000,180.000000,top
R19,30k,R_0603_1608Metric,134.112000,-100.838000,0.000000,top
R20,220,R_0603_1608Metric,110.998000,-81.026000,180.000000,top
R21,220,R_0603_1608Metric,134.112000,-81.026000,180.000000,top
R22,220,R_0603_1608Metric,134.112000,-94.742000,0.000000,top
R23,30k,R_0603_1608Metric,110.998000,-68.326000,0.000000,top
R24,30k,R_0603_1608Metric,134.112000,-68.326000,0.000000,top
R25,30k,R_0603_1608Metric,134.112000,-106.934000,180.000000,top
R26,10k,R_0603_1608Metric,117.729000,-71.628000,180.000000,top
R27,10k,R_0603_1608Metric,117.729000,-68.326000,180.000000,top
R28,20k,R_0603_1608Metric,117.729000,-74.930000,180.000000,top
R29,10k,R_0603_1608Metric,121.920000,-97.790000,0.000000,top
R30,10k,R_0603_1608Metric,121.920000,-100.838000,180.000000,top
R31,20k,R_0603_1608Metric,121.920000,-103.886000,180.000000,top
R32,10k,R_0603_1608Metric,139.446000,-77.978000,180.000000,top
R33,10k,R_0603_1608Metric,139.446000,-71.882000,180.000000,top
R34,20k,R_0603_1608Metric,139.446000,-74.930000,180.000000,top
R35,20k,R_0603_1608Metric,117.729000,-79.502000,0.000000,top
R36,20k,R_0603_1608Metric,121.920000,-94.742000,180.000000,top
R37,20k,R_0603_1608Metric,139.446000,-81.026000,0.000000,top
R38,270k,R_0603_1608Metric,107.950000,-94.742000,0.000000,top
R39,220,R_0603_1608Metric,112.014000,-94.742000,0.000000,top
R40,4k7,R_0603_1608Metric,112.014000,-100.838000,0.000000,top
R41,220,R_0603_1608Metric,103.632000,-94.742000,180.000000,top
R42,30k,R_0603_1608Metric,107.950000,-97.790000,0.000000,top
R43,51k,R_0603_1608Metric,116.840000,-114.300000,180.000000,top
R44,100k,R_0603_1608Metric,116.840000,-107.696000,180.000000,top
R45,680k,R_0603_1608Metric,116.840000,-110.744000,180.000000,top
R46,150k,R_0603_1608Metric,121.158000,-110.744000,0.000000,top
U1,TL074,TSSOP-14_4.4x5mm_P0.65mm,97.155000,-87.376000,270.000000,top
U3,TL074,TSSOP-14_4.4x5mm_P0.65mm,121.285000,-87.376000,270.000000,top
U5,TL074,TSSOP-14_4.4x5mm_P0.65mm,145.288000,-87.122000,270.000000,top
U6,TL072,SOIC-8_3.9x4.9mm_P1.27mm,127.508000,-110.998000,270.000000,top
