Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,100p,C_0603_1608Metric,125.476,-99.0225,-90,top
C5,1n,C_0603_1608Metric,137.795,-99.0175,90,top
C6,1n,C_0603_1608Metric,139.065,-113.6225,-90,top
C7,1n,C_0603_1608Metric,123.825,-113.6225,90,top
C8,4n7,C_0603_1608Metric,118.11,-88.58,90,top
C9,10u,C_0805_2012Metric,143.51,-110.805,-90,top
C10,10u,C_0805_2012Metric,143.51,-106.365,-90,top
C11,100n,C_0603_1608Metric,121.92,-83.833,-90,top
C12,100n,C_0603_1608Metric,121.92,-78.727,-90,top
C13,100n,C_0603_1608Metric,139.7,-83.833,-90,top
C14,100n,C_0603_1608Metric,139.7,-78.727,-90,top
C15,100n,C_0603_1608Metric,118.872,-109.233,-90,top
C16,100n,C_0603_1608Metric,118.872,-104.14,-90,top
C17,100n,C_0603_1608Metric,130.175,-109.233,-90,top
C18,100n,C_0603_1608Metric,130.175,-104.127,-90,top
D1,1N4148W,D_SOD-123,105.41,-82.04,90,top
D2,1N4148W,D_SOD-123,110.49,-82.04,-90,top
D3,1N4148W,D_SOD-123,105.41,-76.58,90,top
D4,1N4148W,D_SOD-123,110.49,-76.58,-90,top
D5,1N4148W,D_SOD-123,105.41,-71.12,90,top
D6,1N4148W,D_SOD-123,110.49,-71.12,-90,top
R1,10k,R_0603_1608Metric,130.81,-74.0175,90,top
R2,220,R_0603_1608Metric,133.35,-74.0175,90,top
R3,10k,R_0603_1608Metric,125.73,-74.0175,90,top
R4,220,R_0603_1608Metric,135.89,-74.0175,90,top
R5,10k,R_0603_1608Metric,138.43,-74.0175,-90,top
R6,10k,R_0603_1608Metric,128.27,-74.0175,90,top
R7,10k,R_0603_1608Metric,118.11,-74.0175,-90,top
R8,10k,R_0603_1608Metric,125.73,-88.5425,90,top
R9,220,R_0603_1608Metric,133.35,-88.5425,-90,top
R10,1k8,R_0603_1608Metric,115.57,-74.0175,90,top
R11,10k,R_0603_1608Metric,128.27,-88.5425,-90,top
R12,220,R_0603_1608Metric,135.89,-88.5425,-90,top
R13,10k,R_0603_1608Metric,138.43,-88.5425,90,top
R14,10k,R_0603_1608Metric,130.81,-88.5425,-90,top
R15,150k,R_0603_1608Metric,147.2184,-91.5416,90,top
R16,15k,R_0603_1608Metric,121.92,-99.06,-90,top
R17,4k7,R_0603_1608Metric,139.954,-102.6668,90,top
R18,270,R_0603_1608Metric,134.112,-99.06,90,top
R19,15k,R_0603_1608Metric,130.302,-99.06,90,top
R20,270k,R_0603_1608Metric,131.445,-113.585,90,top
R21,270,R_0603_1608Metric,135.255,-113.665,-90,top
R22,51k,R_0603_1608Metric,120.015,-113.585,-90,top
R23,4k7,R_0603_1608Metric,117.0432,-109.1692,-90,top
R24,10k,R_0603_1608Metric,108.458,-96.52,-90,top
R25,150k,R_0603_1608Metric,110.998,-96.52,-90,top
R26,1k8,R_0603_1608Metric,113.538,-96.52,90,top
R27,470k,R_0603_1608Metric,115.57,-88.5425,90,top
R28,4k7,R_0603_1608Metric,120.65,-88.5425,-90,top
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,116.84,-81.28,180,top
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,123.825,-106.68,180,top
