Comment,Designator,Footprint,LCSC
100nF,"C15,C16,C17,C18,C19,C20",C_0603_1608Metric,C14663
100p,C12,C_0603_1608Metric,C14858
1n,"C1,C21,C22,C23",C_0603_1608Metric,C1588
MMBT3904,Q2,SOT-23,C20526
1k,R2,R_0603_1608Metric,C21190
1k2,"R18,R19,R20",R_0603_1608Metric,C22765
150,"R10,R7,R8,R9",R_0603_1608Metric,C22808
220k,"R17,R21,R3",R_0603_1608Metric,C22961
220,"R1,R11,R15",R_0603_1608Metric,C22962
270k,R28,R_0603_1608Metric,C22965
270,"R25,R29",R_0603_1608Metric,C22966
330,"R14,R4,R6",R_0603_1608Metric,C23138
4k7,R24,R_0603_1608Metric,C23162
51k,R30,R_0603_1608Metric,C23196
680,R13,R_0603_1608Metric,C23228
100k,R12,R_0603_1608Metric,C25803
47k,"R16,R22",R_0603_1608Metric,C25819
BCM847,"Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-363_SC-70-6,C396099
33k,"R23,R26,R27,R5",R_0603_1608Metric,C4216
TL072,U1,SOIC-8_3.9x4.9mm_P1.27mm,C6961
MMBT3906,Q1,SOT-23,
