Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0603_1608Metric,133.985,-106.045,180,top
C12,100p,C_0603_1608Metric,161.925,-102.87,180,top
C15,100nF,C_0603_1608Metric,155.194,-115.075,-90,top
C16,100nF,C_0603_1608Metric,165.862,-108.966,-90,top
C17,100nF,C_0603_1608Metric,165.354,-115.316,-90,top
C18,100nF,C_0603_1608Metric,154.178,-110.49,-90,top
C19,100nF,C_0603_1608Metric,166.878,-80.01,0,top
C20,100nF,C_0603_1608Metric,150.495,-102.108,180,top
C21,1n,C_0603_1608Metric,154.49,-119.38,0,top
C22,1n,C_0603_1608Metric,154.305,-106.045,0,top
C23,1n,C_0603_1608Metric,161.925,-119.38,180,top
Q1,MMBT3906,SOT-23,135.89,-95.758,0,top
Q2,MMBT3904,SOT-23,135.763,-90.805,0,top
Q3,BCM847,SOT-363_SC-70-6,136.398,-84.455,-90,top
Q4,BCM847,SOT-363_SC-70-6,142.748,-84.455,-90,top
Q5,BCM847,SOT-363_SC-70-6,149.098,-84.455,-90,top
Q6,BCM847,SOT-363_SC-70-6,155.448,-84.455,-90,top
Q7,BCM847,SOT-363_SC-70-6,161.798,-84.455,-90,top
Q8,BCM847,SOT-363_SC-70-6,161.925,-93.98,-90,top
Q9,BCM847,SOT-363_SC-70-6,156.845,-93.98,-90,top
R1,220,R_0603_1608Metric,127.635,-109.855,180,top
R2,1k,R_0603_1608Metric,127.635,-106.68,0,top
R3,220k,R_0603_1608Metric,133.985,-99.695,0,top
R4,330,R_0603_1608Metric,133.985,-102.87,0,top
R5,33k,R_0603_1608Metric,136.398,-76.2,0,top
R6,330,R_0603_1608Metric,136.398,-80.01,0,top
R7,150,R_0603_1608Metric,141.605,-80.01,180,top
R8,150,R_0603_1608Metric,146.685,-80.01,180,top
R9,150,R_0603_1608Metric,151.765,-80.01,180,top
R10,150,R_0603_1608Metric,156.845,-80.01,180,top
R11,220,R_0603_1608Metric,161.925,-80.01,180,top
R12,100k,R_0603_1608Metric,133.985,-109.855,0,top
R13,680,R_0603_1608Metric,131.318,-86.36,180,top
R14,330,R_0603_1608Metric,131.318,-83.185,0,top
R15,220,R_0603_1608Metric,141.605,-76.2,0,top
R16,47k,R_0603_1608Metric,158.115,-89.535,180,top
R17,220k,R_0603_1608Metric,154.305,-89.535,180,top
R18,1k2,R_0603_1608Metric,161.925,-98.425,180,top
R19,1k2,R_0603_1608Metric,150.495,-98.425,0,top
R20,1k2,R_0603_1608Metric,161.925,-89.535,180,top
R21,220k,R_0603_1608Metric,154.305,-98.425,180,top
R22,47k,R_0603_1608Metric,158.115,-98.425,180,top
R23,33k,R_0603_1608Metric,161.925,-106.045,180,top
R24,4k7,R_0603_1608Metric,150.68,-122.555,180,top
R25,270,R_0603_1608Metric,150.68,-119.38,0,top
R26,33k,R_0603_1608Metric,146.87,-122.555,180,top
R27,33k,R_0603_1608Metric,146.87,-119.38,180,top
R28,270k,R_0603_1608Metric,146.685,-106.045,180,top
R29,270,R_0603_1608Metric,150.495,-106.045,0,top
R30,51k,R_0603_1608Metric,161.925,-122.555,0,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,160.655,-112.745,180,top
